player_name,team,age,cap_hit,years_remaining
Conor Garland,CBJ,30,4950000,1
Mason Marchment,CBJ,30,4500000,1
Dmitri Voronkov,CBJ,25,4175000,2
Kirill Marchenko,CBJ,25,3850000,2
Boone Jenner,CBJ,32,3750000,1
Mathieu Olivier,CBJ,29,3000000,6
Miles Wood,CBJ,30,2500000,4
Cole Sillinger,CBJ,22,2250000,1
Danton Heinen,CBJ,30,2250000,1
Kent Johnson,CBJ,23,1800000,2
Isac Lundestrom,CBJ,26,1300000,2
Adam Fantilli,CBJ,21,950000,1
Luca Del Bel Belluz,CBJ,22,860000,2
Zach Aston-Reese,CBJ,31,775000,1
Zach Werenski,CBJ,28,9583333,3
Ivan Provorov,CBJ,29,8500000,7
Damon Severson,CBJ,31,6250000,6
Dante Fabbro,CBJ,27,4125000,4
Erik Gudbranson,CBJ,34,4000000,1
Egor Zamula,CBJ,26,1000000,1
Jake Christiansen,CBJ,26,975000,2
Denton Mateychuk,CBJ,21,886667,2
Brendan Smith,CBJ,37,800000,1
Elvis Merzlikins,CBJ,31,5400000,2
Jet Greaves,CBJ,25,812500,1
Jack Williams,CBJ,24,923750,1
Oiva Keskinen,CBJ,22,860000,3
Jordan Dumais,CBJ,21,860000,2
Max McCue,CBJ,23,858333,2
Luca Pinelli,CBJ,21,846667,3
James Malatesta,CBJ,22,841667,1
Hunter McKown,CBJ,23,800000,1
Owen Sillinger,CBJ,28,775000,1
Hudson Fasching,CBJ,30,775000,1
Mikael Pyyhtia,CBJ,24,775000,1
Brendan Gaunce,CBJ,32,775000,1
Corson Ceulemans,CBJ,22,925000,1
Caleb MacDonald,CBJ,23,922500,2
Charlie Elick,CBJ,20,906667,3
Guillaume Richard,CBJ,23,867500,2
Luca Marrelli,CBJ,20,839167,3
Stanislav Svozil,CBJ,23,825000,1
Dysin Mayo,CBJ,29,775000,1
Ivan Fedotov,CBJ,29,3275000,1
Evan Gardner,CBJ,20,870833,3
Nolan Lalonde,CBJ,22,785556,2
Zach Sawchenko,CBJ,28,775000,1
Luke Ashton,CBJ,21,,
Kirill Dolzhenkov,CBJ,21,,
James Fisher,CBJ,21,,
Tanner Henricks,CBJ,19,,
Sergei Ivanov,CBJ,22,,
Cayden Lindstrom,CBJ,20,,
Nikolai Makarov,CBJ,23,,
Melvin Strahl,CBJ,21,,
Andrew Strathmann,CBJ,21,,
William Whitelaw,CBJ,21,,
Tim Berni,CBJ,26,,
Jackson Smith,CBJ,18,,
Pyotr Andreyanov,CBJ,19,,
Malte Vass,CBJ,19,,
Owen Griffin,CBJ,19,,
Victor Hedin Raftheim,CBJ,18,,
Jérémy Loranger,CBJ,18,,
Mikko Rantanen,DAL,29,12000000,8
Roope Hintz,DAL,29,8450000,6
Wyatt Johnston,DAL,22,8400000,5
Jason Robertson,DAL,26,7750000,1
Matt Duchene,DAL,35,4500000,4
Michael Bunting,DAL,30,4500000,1
Sam Steel,DAL,28,2100000,2
Radek Faksa,DAL,32,2000000,3
Jamie Benn,DAL,36,1000000,1
Mavrik Bourque,DAL,24,950000,1
Justin Hryckowian,DAL,25,870000,1
Arttu Hyry,DAL,25,870000,1
Oskar Back,DAL,26,825000,2
Colin Blackwell,DAL,33,775000,2
Adam Erne,DAL,30,775000,1
Nathan Bastian,DAL,28,775000,1
Cameron Hughes,DAL,29,775000,2
Miro Heiskanen,DAL,26,8450000,4
Esa Lindell,DAL,31,5250000,5
Thomas Harley,DAL,24,4000000,1
Ilya Lyubushkin,DAL,32,3250000,2
Tyler Myers,DAL,36,1500000,2
Nils Lundkvist,DAL,25,1250000,1
Lian Bichsel,DAL,21,918333,2
Alexander Petrovic,DAL,34,775000,1
Kyle Capobianco,DAL,28,775000,1
Jake Oettinger,DAL,27,8250000,8
Casey DeSmith,DAL,34,1000000,2
Tyler Seguin,DAL,34,9850000,2
Harrison Scott,DAL,25,975000,1
Emil Hemming,DAL,19,942500,3
Jaxon Fuder,DAL,20,916667,3
Kyle McDonald,DAL,24,870000,1
Justin Ertel,DAL,22,867500,2
Ayrton Martino,DAL,23,867500,2
Chase Wheatcroft,DAL,23,862500,1
Matthew Seminoff,DAL,22,850000,1
Angus MacDonell,DAL,20,850000,3
Samu Tuomaala,DAL,23,830833,1
Francesco Arcuri,DAL,22,825000,1
Antonio Stranges,DAL,24,775000,1
Kole Lind,DAL,27,775000,1
Dylan Hryckowian,DAL,21,975000,2
Trey Taylor,DAL,24,975000,2
Connor Punnett,DAL,22,870000,2
Luke Krys,DAL,25,870000,1
Niilopekka Muhonen,DAL,20,850000,3
Tristan Bertucci,DAL,20,846667,3
Vladislav Kolyachonok,DAL,24,775000,1
Jeremie Poirier,DAL,23,775000,1
Jack Anderson,DAL,23,1050000,2
Aram Minnetian,DAL,21,975000,3
Arno Tiefensee,DAL,23,850000,2
Ben Kraws,DAL,25,775000,1
Remi Poirier,DAL,24,775000,2
Sebastian Bradshaw,DAL,20,,
George Fegaras,DAL,21,,
Maxim Mayorov,DAL,21,,
William Samuelsson,DAL,20,,
Cameron Schmidt,DAL,19,,
Brandon Gorzynski,DAL,19,,
Atte Joki,DAL,18,,
Mans Goos,DAL,18,,
Dawson Sharkey,DAL,19,,
Charlie Paquette,DAL,20,,
Dylan Larkin,DET,29,8700000,6
Lucas Raymond,DET,24,8075000,7
Alex DeBrincat,DET,28,7875000,2
Andrew Copp,DET,31,5625000,2
J.T. Compher,DET,31,5100000,3
David Perron,DET,37,4000000,1
Michael Rasmussen,DET,26,3200000,3
Patrick Kane,DET,37,3000000,1
Mason Appleton,DET,30,2900000,2
James van Riemsdyk,DET,36,1000000,1
Carter Mazur,DET,24,905833,1
Marco Kasper,DET,22,886667,2
Emmitt Finnie,DET,20,821667,3
Dominik Shine,DET,32,775000,1
Moritz Seider,DET,25,8550000,6
Justin Faulk,DET,34,6500000,2
Ben Chiarot,DET,34,4750000,1
Albert Johansson,DET,25,1125000,2
Travis Hamonic,DET,35,1000000,1
Axel Sandin-Pellikka,DET,21,918333,3
Simon Edvinsson,DET,23,894167,1
Jacob Bernard-Docker,DET,25,875000,1
John Gibson,DET,32,6400000,2
Cam Talbot,DET,38,2500000,1
Noah Dower Nilsson,DET,20,990000,3
Carter Bear,DET,19,975000,3
Michael Brandsegg-Nygard,DET,20,942500,3
Jesse Kiiskinen,DET,20,923333,3
Nate Danielson,DET,21,886667,3
